bench,node,strategy,throughout,tpp
linear_regression,2,clh_stp,0.833333333333333,0.00742999376289174
streamcluster,1,spinlock,1.33333333333333,0.011788784822081
p_raytrace,2,ticket,0.0171526586620926,0.000211735267600725
lu_cb,2,spinlock,0.0777604976671851,0.000565944640625224
streamcluster,2,ttas-ls,0.581395348837209,0.0041284919977419
histogram,2,spinlock,0.40650406504065,0.003928496523367
histogram,2,pthread,0.460829493087558,0.00427627184374715
linear_regression,2,ahmcs,1.85185185185185,0.0120951592946993
kmeans,1,alock-ls,0.0317762948840165,0.000261275811821852
histogram,2,spinlock,0.561797752808989,0.00486687893721381
lu_ncb,2,mcs-ls,0.0709219858156028,0.000394584741109755
linear_regression,2,ticket-ls,2,0.0124043238992248
lu_ncb,2,c-ptl-tkt,0.0750750750750751,0.00041261865365675
water_spatial,2,hticket-ls,0.0851063829787234,0.000627425059814407
canneal,2,malth_stp,0.0181455271275631,0.000182852089435594
histogram,2,pthread,0.558659217877095,0.00497611826489484
dedup,2,partitioned,0.0649350649350649,0.000663953389271645
linear_regression,1,mcs_stp,1.53846153846154,0.010977411001985
vips,1,partitioned,0.0893655049151028,0.000711342513296674
p_raytrace,2,hticket-ls,0.017614937466972,0.000218373531640405
histogram,2,hmcs,0.467289719626168,0.0043519700896407
lu_ncb,1,alock-ls,0.0396510705789056,0.000284785343912773
rocksdb,1,hmcs,3374280,25118.5717434261
histogram,2,c-bo-mcs_spin,0.487804878048781,0.00442366560237696
histogram,2,clh_spin,0.420168067226891,0.00408045601609541
canneal,1,mutexee,0.015389350569406,0.00015927283898716
water_nsquared,1,malth_spin,0.0179597701149425,0.000149260124399466
radiosity,2,clh_stp,0.0203086921202275,0.000255758781477634
histogram,1,c-tkt-tkt,0.952380952380952,0.00795448020069026
pca_ll,1,ticket,429584,2771.81615087222
radiosity_ll,2,spinlock-ls,172024,1137.08068745023
radiosity,2,mcs_spin,0.115340253748558,0.00122433823633742
word_count,2,mcs_spin,0.123456790123457,0.00109445311036673
histogram,2,mcs-timepub,0.366300366300366,0.00368192414056582
histogram,2,spinlock,0.373134328358209,0.00384207329832134
streamcluster,1,mcs-timepub,1.42857142857143,0.0124791897032509
dedup,2,spinlock,0.0725163161711385,0.000718600131473787
lu_cb,2,c-ptl-tkt,0.078064012490242,0.000565965920433413
linear_regression,2,c-bo-mcs_stp,1.53846153846154,0.0102541908288301
matrix_multiply,2,ticket,0.0675219446320054,0.000416451136545459
string_match,1,c-tkt-tkt,0.0322372662798195,0.000261142083467503
sqlite,2,malth_stp,13602,131.097740015486
histogram,2,alock-ls,0.591715976331361,0.00506576936491275
lu_ncb,2,spinlock,0.0699790062981106,0.000400888438695092
s_raytrace_ll,1,mcs_spin,189348,1484.42793560916
ferret,2,malth_stp,0.0450653447498873,0.000277101295004638
vips,2,partitioned,0.127064803049555,0.000797021123984853
histogram,1,ticket,0.970873786407767,0.00803199367978481
volrend,2,clh_spin,0.0992063492063492,0.000948774405149686
canneal,2,backoff,0.0183150183150183,0.000185301365572632
histogram,1,spinlock,1.02040816326531,0.00804111744996867
matrix_multiply,2,malth_stp,0.0674763832658569,0.000414533175301017
histogram,2,c-tkt-tkt,0.578034682080925,0.00510162378461083
canneal,1,backoff,0.0156103652825476,0.000160944766612707
kmeans,1,hticket-ls,0.0319693094629156,0.000264853812594006
volrend,1,c-ptl-tkt,0.108695652173913,0.00103050268151637
streamcluster,2,spinlock-ls,0.900900900900901,0.00597880270505906
matrix_multiply,2,c-tkt-tkt,0.0677506775067751,0.00041512205475318
linear_regression,1,clh_stp,1.31578947368421,0.00994869448306389
histogram,2,alock-ls,0.598802395209581,0.00513663949024812
upscaledb,2,ahmcs,313776,2048.07593514888
matrix_multiply,1,ticket-ls,0.0341180484476288,0.000278424977411173
rocksdb,1,hticket-ls,3443687,25656.4425688605
lu_cb,2,clh_stp,0.078003120124805,0.000566963074678627
volrend,1,c-tkt-tkt,0.116414435389988,0.00108553396841116
freqmine,2,c-tkt-tkt,0.0287026406429391,0.00020396544032668
lu_ncb,2,spinlock,0.0791765637371338,0.000425502056961618
radiosity_ll,2,spinlock-ls,177859,1173.10289855463
linear_regression,2,mcs-ls,1.75438596491228,0.0110831881269441
histogram,2,mcs_spin,0.383141762452107,0.0038179810666548
upscaledb,1,clh_stp,15977,231.033153452735
histogram,1,c-bo-mcs_stp,1,0.00821403926670544
histogram,2,clh_stp,0.34965034965035,0.00358312492773957
streamcluster,2,c-tkt-tkt,1.03092783505155,0.00675637570629716
bodytrack,1,mcs-timepub,0.0367782272894446,0.000366460777726963
lu_ncb,1,mutexee,0.0392927308447937,0.000281643674161
streamcluster,2,alock-ls,1.17647058823529,0.0075176973172834
string_match,1,clh-ls,0.0322476620445018,0.000260069683185343
histogram,1,hticket-ls,0.884955752212389,0.00779799554551981
canneal,1,ahmcs,0.0156201187129022,0.000161695502482917
upscaledb,2,c-bo-mcs_stp,23181,283.974840718486
canneal,2,hticket-ls,0.0183688464364438,0.000183088551653903
volrend,2,hticket-ls,0.102249488752556,0.000967458462664309
upscaledb,2,c-bo-mcs_stp,51466,604.525921812173
kmeans,2,pthread,0.0393545848091303,0.000248717971093
memcached-old,1,ticket,394870,2687.80110900742
streamcluster,2,spinlock-ls,0.900900900900901,0.00595092053272236
freqmine,2,mcs-timepub,0.0283929585462805,0.000204050634238496
linear_regression,1,clh-ls,1.51515151515152,0.0109018514058248
streamcluster_ll,2,partitioned,45980,291.521446179692
streamcluster_ll,1,partitioned,24310,201.015961626541
dedup,2,c-ptl-tkt,0.00703828828828829,4.9070446586564e-05
linear_regression,2,c-ptl-tkt,1.78571428571429,0.0118415128603152
histogram,2,mcs_stp,0.317460317460317,0.0033283826082849
dedup,2,c-ptl-tkt,0.0692520775623269,0.000681378102775539
histogram,1,mcs_stp,0.943396226415094,0.00788493880964201
streamcluster,2,ttas,0.869565217391304,0.00574563854754417
streamcluster,1,mcs_spin,1.05263157894737,0.00847486118452813
canneal,2,pthread,0.0182348650619985,0.000183757680590063
water_nsquared,1,c-bo-mcs_stp,0.0179340028694405,0.000148771005999836
dedup,1,ticket,0.119617224880383,0.00108675563850312
bodytrack,1,pthread,0.0364298724954463,0.000360306844082189
histogram,2,mutexee,0.398406374501992,0.0039686826804759
word_count,1,backoff,0.165562913907285,0.00134640550902172
radiosity_ll,1,clh-ls,318284,2524.61306178627
radiosity,1,clh_spin,0.0974658869395712,0.00107199390464266
vips,1,malth_spin,0.0892857142857143,0.000708150104509855
