bench,node,strategy,throughput
s_raytrace,6,c-bo-mcs_spin,0.0793021411578113
water_spatial,1,c-tkt-tkt,0.0198846689202625
lu_cb,6,spinlock-ls,0.0573065902578797
lu_cb,2,malth_spin,0.027708506511499
radiosity,1,mcs-timepub,0.0224014336917563
linear_regression,4,c-bo-mcs_spin,1.21951219512195
rocksdb,1,ttas,1128436
volrend,1,hticket-ls,0.0457875457875458
memcached-new,4,pthread,75127
kmeans,4,mcs_stp,0.0192975685063682
kmeans,6,mcs-ls,0.0254129606099111
pca_ll,6,mcs-ls,269388
pca,6,c-tkt-tkt,0.043859649122807
histogram,2,malth_spin,0.458715596330275
volrend,2,clh-ls,0.0744601638123604
ocean_cp,8,spinlock-ls,0.0612745098039216
upscaledb,1,c-bo-mcs_stp,64827
p_raytrace,1,hticket-ls,0.00650195058517555
water_nsquared,8,c-bo-mcs_spin,0.0342583076396026
pca_ll,8,spinlock-ls,68856
bodytrack,4,clh-ls,0.0373692077727952
word_count,2,alock-ls,0.100401606425703
matrix_multiply,2,ahmcs,0.025974025974026
dedup,2,mcs_spin,0.0434404865334492
vips,2,hmcs,0.0322476620445018
ferret,2,clh_spin,0.0116686114352392
histogram,2,clh_spin,0.408163265306122
linear_regression,2,ttas,0.662251655629139
streamcluster,6,c-tkt-tkt,0.130548302872063
bodytrack,8,ttas,0.0415454923140839
fluidanimate,8,mcs_stp,0.00969180073657686
histogram,1,c-ptl-tkt,0.255102040816327
dedup,1,malth_stp,0.0443262411347518
radix,8,pthread,0.316455696202532
pca,6,pthreadadapt,0.04510599909788
ssl_proxy,6,malth_stp,23061
swaptions,2,alock-ls,0.0220896841175171
s_raytrace,6,c-tkt-tkt,0.0827814569536424
lu_cb,6,c-bo-mcs_spin,0.057372346528973
kyotocabinet,6,ttas,62880
s_raytrace_ll,4,malth_stp,154867
fmm,4,hticket-ls,0.0453720508166969
matrix_multiply,4,c-bo-mcs_spin,0.0526038926880589
bodytrack,6,hticket-ls,0.0411522633744856
kyotocabinet,8,pthreadadapt,86753
pca,6,c-tkt-tkt,0.0434216239687364
dedup,1,ticket,0.0484966052376334
rocksdb,6,clh-ls,8018263
fluidanimate,4,malth_spin,0.00441150520557614
word_count,2,ttas-ls,0.102249488752556
vips,4,partitioned,0.0668002672010688
dedup,4,mcs-ls,0.00662163951794464
dedup,6,c-bo-mcs_stp,0.0173010380622837
bodytrack,1,c-ptl-tkt,0.0173852573018081
bodytrack,4,mcs-timepub,0.0375657400450789
string_match,2,backoff,0.0184877056757256
histogram,8,alock-ls,0.309597523219814
canneal,6,mutexee,0.0115794349235757
ssl_proxy,8,mcs_stp,2775
swaptions,1,mcs-timepub,0.0111049416990561
vips,4,hmcs,0.0707714083510262
ssl_proxy,2,mcs-timepub,40300
vips,2,partitioned,0.033167495854063
fmm,1,alock-ls,0.0214041095890411
water_nsquared,6,c-bo-mcs_stp,0.0265463233342182
water_spatial,4,malth_spin,0.0519210799584631
kyotocabinet,4,ticket,177671
ocean_cp,4,mutexee,0.161550888529887
streamcluster,6,spinlock,0.02211900022119
vips,6,c-tkt-tkt,0.0895255147717099
upscaledb,2,pthread,94010
pca,8,c-tkt-tkt,0.0400962309542903
ferret,8,ahmcs,0.0102103328568511
facesim,8,mcs-timepub,0.0596302921884317
matrix_multiply,2,ticket-ls,0.0268096514745308
canneal,6,c-ptl-tkt,0.0108038029386344
swaptions,6,ahmcs,0.0596658711217184
ocean_ncp,8,ahmcs,0.121506682867558
fft,8,mutexee,0.0731528895391368
water_spatial,4,malth_stp,0.0515463917525773
ssl_proxy,8,spinlock-ls,8715
x264,6,c-bo-mcs_spin,0.0749625187406297
radix,1,ttas,0.0660501981505944
barnes,2,mcs-ls,0.0304321363359708
memcached-new,1,alock-ls,208244
streamcluster_ll,8,alock-ls,5580
dedup,2,pthread,0.0538793103448276
p_raytrace,2,hticket-ls,0.00658024610120419
blackscholes,8,malth_spin,0.0251889168765743
upscaledb,6,malth_stp,179253
ssl_proxy,4,mcs-ls,35620
lu_ncb,8,c-tkt-tkt,0.0661375661375661
