bench,node,strategy,throughput,tpp
matrix_multiply,2,hticket-ls,0.0618046971569839,0.000359026062962092
pca,4,spinlock-ls,0.0286204922724671,0.00014901683632049
streamcluster,3,ticket-ls,0.053134962805526,0.000343247934592739
kyotocabinet,2,mcs_stp,21482,218.481316455602
linear_regression,4,pthreadadapt,2.22222222222222,0.0113273160968887
pca_ll,2,malth_stp,628025,2676.66193599709
sqlite,3,pthreadadapt,13134,65.9203159196258
freqmine,1,pthread,0.0165755014089176,0.000112226465886717
memcached,3,spinlock-ls,61007,321.906715204559
bodytrack,3,c-bo-mcs_stp,0.0380517503805175,0.000300258689044555
linear_regression,4,partitioned,1.85185185185185,0.00892270244137363
s_raytrace,2,spinlock-ls,0.0571755288736421,0.000315431522689532
s_raytrace_ll,3,malth_stp,178502,1090.99401802153
pca,1,c-ptl-tkt,0.0823045267489712,0.000603417062605963
freqmine,3,alock-ls,0.0301204819277108,0.000172399564224311
streamcluster_ll,2,mcs_spin,13455,80.5888681000289
upscaledb,2,spinlock-ls,125149,779.25178441523
streamcluster_ll,4,backoff,2205,20.338881368166
streamcluster_ll,1,c-bo-mcs_spin,14958,102.874949048255
kyotocabinet,3,mcs_spin,360736,1905.06605319698
water_nsquared,3,spinlock,0.0540248514316586,0.000252913666860615
string_match,3,mutexee,0.0947867298578199,0.000471182206918961
canneal,4,ttas-ls,0.0138255219134522,0.000111170791075112
lu_ncb,3,ahmcs,0.0675219446320054,0.000364618176702072
string_match,3,mcs-ls,0.0945179584120983,0.000471402615367543
linear_regression,2,mcs_stp,0.537634408602151,0.00453852049070066
ssl_proxy,3,c-ptl-tkt,62085,314.008038969953
pca_ll,3,mcs-ls,808121,2993.91468661491
sqlite,1,mutexee,11556,90.5276457415387
kmeans,1,ttas,0.0227686703096539,0.000151011600769764
freqmine,1,mcs-ls,0.0158202816010125,0.000108451333622514
s_raytrace,1,pthread,0.0534188034188034,0.000339875846629629
barnes,3,malth_spin,0.1194743130227,0.000625652516862839
linear_regression,3,malth_stp,2.04081632653061,0.0110796281016463
s_raytrace_ll,3,spinlock-ls,72799,373.907164899809
radiosity_ll,4,pthreadadapt,171821,780.968862277256
canneal,1,c-bo-mcs_stp,0.011102475852115,9.09713429629658e-05
lu_cb,1,spinlock,0.0453720508166969,0.000312145248875561
blackscholes,4,mutexee,0.0351988736360436,0.000266440855412821
radiosity_ll,1,ticket-ls,179947,1210.12519722192
blackscholes,1,pthreadadapt,0.0255427841634738,0.000200044441032833
volrend,2,partitioned,0.110253583241455,0.000774378653862119
p_raytrace,4,clh_spin,0.0135998912008704,0.000118106270049179
word_count,4,ttas-ls,0.0458085203847916,0.000403698821500237
radiosity,2,c-tkt-tkt,0.0647249190938511,0.000533077137029892
streamcluster,2,ahmcs,0.497512437810945,0.00292478723606003
water_spatial,1,spinlock,0.0477783086478739,0.000343640499888983
fmm,1,backoff,0.0430292598967298,0.000316462750017024
ssl_proxy,2,mutexee,40279,238.757052562295
memcached,1,ttas,119614,799.906927411064
water_nsquared,2,ttas-ls,0.0291970802919708,0.000174524602087066
streamcluster_ll,3,c-bo-mcs_stp,2798,24.8101416765495
bodytrack,4,alock-ls,0.0440917107583774,0.000326520903085871
vips,2,spinlock,0.164744645799012,0.000881828709570314
histogram,3,hticket-ls,0.258397932816537,0.00225750678742555
p_raytrace,2,malth_spin,0.0136407038603192,0.000118945657668729
water_nsquared,4,mcs-timepub,0.0612745098039216,0.000267014654904147
pca_ll,1,clh_stp,339121,2112.79754996452
matrix_multiply,1,clh_spin,0.0308451573103023,0.000212469779230813
