bench,node,strategy,throughput,latency
ssl_proxy,4,ttas,7877,79298559
memcached-old,4,c-tkt-tkt,79228,2537
upscaledb,4,pthreadadapt,135787,3777
memcached-old,7,ttas,16960,32639
ssl_proxy,4,mutexee,12991,11280383
memcached-old,1,hmcs,125730,1523
ssl_proxy,2,malth_spin,34985,2365439
kyotocabinet,8,mcs_spin,260329,762
memcached-new,1,c-tkt-tkt,255121,3479
upscaledb,8,hticket-ls,168171,5587
upscaledb,8,pthread,56693,4839
ssl_proxy,1,mcs-timepub,35919,814591
ssl_proxy,8,c-ptl-tkt,28351,11272191
memcached-new,2,ahmcs,307913,3241
kyotocabinet,8,alock-ls,231499,818
kyotocabinet,8,partitioned,225481,831
kyotocabinet,8,clh_spin,246004,789
memcached-old,7,mcs_spin,15590,34559
kyotocabinet,6,malth_stp,285652,142
memcached-old,6,ttas,25420,18239
mysqld,6,malth_stp,1025,42336
memcached-new,1,hmcs,241029,3537
upscaledb,4,hmcs,201062,3573
upscaledb,6,c-ptl-tkt,171552,4275
memcached-old,4,pthreadadapt,34866,7711
memcached-new,4,ttas-ls,130120,10647
kyotocabinet,4,mcs_spin,303424,319
ssl_proxy,4,mcs-ls,38512,3006463
upscaledb,4,ticket-ls,155533,254
memcached-old,4,mcs-timepub,38017,6123
memcached-new,1,pthreadadapt,247452,3681
memcached-new,6,spinlock-ls,41582,53247
memcached-new,6,malth_stp,220789,35263
memcached-new,1,pthread,187071,4291
upscaledb,4,mcs-timepub,165996,239
memcached-old,4,malth_spin,53169,5731
ssl_proxy,8,mcs_stp,4036,90177535
memcached-new,4,ttas,106933,13503
upscaledb,1,ahmcs,153416,581
upscaledb,2,malth_stp,168936,341
memcached-old,6,ticket,21485,17679
mysqld,2,mcs-timepub,696,72815
ssl_proxy,6,clh_spin,34948,8093695
ssl_proxy,8,spinlock-ls,3264,86704127
memcached-old,1,c-tkt-tkt,141903,1407
memcached-new,1,malth_spin,253826,3551
memcached-new,6,mcs-timepub,277194,7911
memcached-old,4,spinlock,41346,8951
kyotocabinet,1,mutexee,243228,308
memcached-old,1,hmcs,118821,1510
ssl_proxy,4,backoff,40394,7012351
ssl_proxy,6,mcs_stp,4339,89587711
memcached-new,1,mutexee,203969,4003
upscaledb,4,pthreadadapt,137023,3897
memcached-old,4,c-bo-mcs_spin,77476,3695
memcached-old,1,malth_stp,120576,1475
kyotocabinet,8,c-tkt-tkt,253351,2619
memcached-old,2,ticket-ls,99984,3215
memcached-old,6,spinlock-ls,32431,17391
memcached-old,6,mcs-timepub,24849,12407
kyotocabinet,4,mutexee,126819,1488
memcached-old,1,alock-ls,107478,1665
memcached-new,6,ttas-ls,150000,9655
memcached-new,6,mcs_spin,290337,3163
upscaledb,4,spinlock,70255,2333
ssl_proxy,4,mcs_stp,4741,67502079
memcached-new,6,hmcs,299810,3245
memcached-new,6,spinlock-ls,41592,52543
memcached-old,2,ticket,91451,5075
kyotocabinet,1,hmcs,358582,100
ssl_proxy,2,mcs-ls,41262,1589247
memcached-new,2,mcs_spin,320008,3139
ssl_proxy,8,pthread,7718,82837503
ssl_proxy,1,clh_spin,37343,826879
kyotocabinet,2,spinlock-ls,138251,612
ssl_proxy,2,spinlock-ls,18439,7770111
memcached-new,4,ttas-ls,118999,10303
upscaledb,1,pthread,81497,1593
kyotocabinet,8,mcs_spin,265365,751
memcached-new,1,malth_stp,236555,3685
memcached-new,1,ticket-ls,264766,3427
upscaledb,4,mcs_spin,178872,220
memcached-old,1,mutexee,125330,1512
memcached-old,7,mcs_stp,17108,33503
upscaledb,6,spinlock,33819,7875
memcached-new,1,spinlock-ls,242304,7767
sqlite,8,mutexee,2635,713727
sqlite,4,mutexee,4162,358655
memcached-new,2,ttas-ls,260307,12103
ssl_proxy,1,mcs_spin,38026,817151
ssl_proxy,4,ahmcs,44380,4374527
kyotocabinet,4,ttas,98354,3979
upscaledb,4,alock-ls,180609,218
sqlite,2,malth_stp,10539,133375
memcached-new,6,hmcs,294614,3065
memcached-new,4,spinlock,65313,30015
memcached-new,2,backoff,236111,10687
sqlite,8,mcs-timepub,493,2541567
memcached-new,1,mcs_stp,248575,3581
kyotocabinet,8,spinlock,16548,23663
upscaledb,4,c-ptl-tkt,190038,3815
sqlite,8,c-bo-mcs_stp,2354,1144831
ssl_proxy,4,pthread,14934,10059775
memcached-old,1,c-bo-mcs_stp,137336,1421
kyotocabinet,8,mcs-ls,237173,809
kyotocabinet,2,pthread,194307,447
kyotocabinet,6,clh_stp,61184,2095
kyotocabinet,4,spinlock,78275,2297
kyotocabinet,4,c-bo-mcs_stp,313781,139
ssl_proxy,6,ticket,9744,46923775
upscaledb,4,c-bo-mcs_stp,131200,223
kyotocabinet,6,clh_spin,269441,532
kyotocabinet,4,mutexee,121777,1513
kyotocabinet,6,c-bo-mcs_spin,335311,56
kyotocabinet,8,c-bo-mcs_stp,125562,391
sqlite,2,mutexee,6427,204287
ssl_proxy,1,mcs-ls,37073,831487
memcached-new,1,mcs-ls,245329,3599
ssl_proxy,6,ticket-ls,22177,11100159
kyotocabinet,2,ticket,206362,218
ssl_proxy,2,ticket,22370,2897919
ssl_proxy,4,ttas-ls,10446,25329663
upscaledb,8,c-bo-mcs_stp,86221,555
memcached-new,4,spinlock,63071,30767
sqlite,1,pthreadadapt,7743,164479
kyotocabinet,8,mcs-timepub,218078,872
upscaledb,6,ahmcs,180779,4023
ssl_proxy,8,ticket-ls,15898,46071807
memcached-new,2,pthread,163833,6207
kyotocabinet,2,c-bo-mcs_stp,347566,32
memcached-new,4,ahmcs,327413,3063
memcached-old,6,mcs-ls,37795,14423
memcached-old,2,alock-ls,86178,2455
kyotocabinet,1,spinlock-ls,256602,140
upscaledb,4,mcs_spin,181411,216
upscaledb,6,mcs_stp,48546,1064
kyotocabinet,2,c-tkt-tkt,346741,293
sqlite,4,c-bo-mcs_stp,11648,163711
memcached-new,4,malth_stp,242470,23471
ssl_proxy,2,c-ptl-tkt,45653,1400831
upscaledb,2,clh_stp,66058,275
memcached-new,6,mcs-ls,289704,4051
kyotocabinet,4,partitioned,276843,339
memcached-new,4,alock-ls,318198,3719
ssl_proxy,1,ahmcs,36872,805887
upscaledb,2,clh_spin,179618,119
sqlite,2,malth_stp,10521,132223
memcached-new,4,alock-ls,321394,3605
upscaledb,8,mcs_spin,161862,480
memcached-old,7,hmcs,48416,26879
ssl_proxy,1,mcs-timepub,36344,843263
memcached-new,4,ttas-ls,126154,32591
kyotocabinet,6,backoff,266513,715
memcached-new,2,ahmcs,329487,2965
memcached-new,2,spinlock-ls,191375,24031
upscaledb,8,mcs-timepub,127079,596
ssl_proxy,1,clh_stp,34164,880127
upscaledb,2,backoff,153014,1198
kyotocabinet,4,clh_stp,73781,1160
memcached-old,1,spinlock-ls,187069,1251
sqlite,6,malth_stp,11923,178943
kyotocabinet,2,mcs-timepub,307889,157
upscaledb,1,spinlock-ls,151204,252
mysqld,4,mutexee,999,18838
kyotocabinet,1,clh_spin,330131,74
memcached-old,1,backoff,182040,1261
memcached-new,6,backoff,245648,23855
mysqld,2,mcs_stp,989,28849
upscaledb,1,mcs-timepub,159180,76
upscaledb,1,ticket,154506,77
memcached-new,1,spinlock,252070,6659
ssl_proxy,8,pthread,7277,84803583
memcached-new,6,mcs-ls,263396,6239
ssl_proxy,2,pthreadadapt,21721,3350527
memcached-new,1,mcs_stp,251198,3549
memcached-new,6,ahmcs,298885,3133
memcached-old,6,ttas,29186,17519
mysqld,8,pthreadadapt,965,22367
memcached-old,2,malth_stp,88362,3671
kyotocabinet,6,mcs-ls,258033,548
ssl_proxy,2,mcs-timepub,39055,1683455
ssl_proxy,4,alock-ls,40365,3293183
upscaledb,2,spinlock,125932,664
memcached-new,2,ahmcs,335223,2953
kyotocabinet,8,ticket,106715,1612
sqlite,8,mutexee,2692,708607
upscaledb,8,hmcs,179342,4091
ssl_proxy,2,clh-ls,42478,1475583
kyotocabinet,2,c-bo-mcs_stp,347680,35
ssl_proxy,2,spinlock,16654,7225343
kyotocabinet,2,alock-ls,297340,161
memcached-old,4,pthreadadapt,35216,7327
upscaledb,6,malth_stp,177315,278
memcached-old,1,mcs-timepub,124937,1484
kyotocabinet,2,c-bo-mcs_stp,350548,28
kyotocabinet,1,partitioned,351376,71
kyotocabinet,2,ticket,213433,213
memcached-new,6,ahmcs,293459,3165
upscaledb,1,ticket-ls,161853,78
memcached-new,4,malth_stp,252362,30127
kyotocabinet,8,pthreadadapt,88641,7323
upscaledb,4,alock-ls,182661,214
